FREQ-StartFreq_RBV,FREQStartFreq-RB
CSYN-State,CSYN-Sel
CSYN-State_RBV,CSYN-Sts
CSYN-Freq_RBV,CSYNFreq-RB
CSYN-Freq,CSYNFreq-SP
CSYN-Offset_RBV,CSYNOffset-RB
CSYN-Offset,CSYNOffset-SP
CSYN-OffsetState_RBV,CSYNOffset-Sts
CSYN-OffsetState,CSYNOffset-Sts
FREQ-CenterFreq_RBV,FREQCenterFreq-RB
FREQ-CenterFreq,FREQCenterFreq-SP
FREQ-ContPhsHi_RBV,FREQContPhsHi-Mon
FREQ-ContPhsLo_RBV,FREQContPhsLo-Mon
FREQ-FDwellTime_RBV,FREQFDwellTime-RB
FREQ-FDwellTime,FREQFDwellTime-SP
FREQ-FExeSweep,FREQFExeSweep-Cmd
FREQ-FreqMan_RBV,FREQFreqMan-RB
FREQ-FreqMan,FREQFreqMan-SP
FREQ-FreqMode,FREQFreqMode-Sel
FREQ-FreqMode_RBV,FREQFreqMode-Sts
FREQ-FreqRetr,FREQFreqRetr-Sel
FREQ-FreqRetr_RBV,FREQFreqRetr-Sts
FREQ-FreqShp,FREQFreqShp-Sel
FREQ-FreqShp_RBV,FREQFreqShp-Sts
FREQ-FreqSpan_RBV,FREQFreqSpan-RB
FREQ-FreqSpan,FREQFreqSpan-SP
FREQ-FRunnMode_RBV,FREQFRunnMode-Mon
FREQ-FSpacMode,FREQFSpacMode-Sel
FREQ-FSpacMode_RBV,FREQFSpacMode-Sts
FREQ-FStepLin_RBV,FREQFStepLin-RB
FREQ-FStepLin,FREQFStepLin-SP
FREQ-FStepLog_RBV,FREQFStepLog-RB
FREQ-FStepLog,FREQFStepLog-SP
FREQ-FSweepMode,FREQFSweepMode-Sel
FREQ-FSweepMode_RBV,FREQFSweepMode-Sts
FREQ-FSweepPts_RBV,FREQFSweepPts-RB
FREQ-FSweepPts,FREQFSweepPts-SP
FREQ-LFDwellTime_RBV,FREQLFDwellTime-RB
FREQ-LFDwellTime,FREQLFDwellTime-SP
FREQ-LFExeSweep,FREQLFExeSweep-Cmd
FREQ-LFMode,FREQLFMode-Sel
FREQ-LFMode_RBV,FREQLFMode-Sts
FREQ-LFShp,FREQLFShp-Sel
FREQ-LFShp_RBV,FREQLFShp-Sts
FREQ-LFSpac,FREQLFSpac-Sel
FREQ-LFSpac_RBV,FREQLFSpac-Sts
FREQ-LFStartFreq_RBV,FREQLFStartFreq-RB
FREQ-LFStartFreq,FREQLFStartFreq-SP
FREQ-LFStepLin_RBV,FREQLFStepLin-RB
FREQ-LFStepLin,FREQLFStepLin-SP
FREQ-LFStepLog_RBV,FREQLFStepLog-RB
FREQ-LFStepLog,FREQLFStepLog-SP
FREQ-LFStopFreq_RBV,FREQLFStopFreq-RB
FREQ-LFStopFreq,FREQLFStopFreq-SP
FREQ-LFSweepMode,FREQLFSweepMode-Sel
FREQ-LFSweepMode_RBV,FREQLFSweepMode-Sts
FREQ-LFSweepSrc,FREQLFSweepSrc-Sel
FREQ-LFSweepSrc_RBV,FREQLFSweepSrc-Sts
FREQ-PwrRetr,FREQLvlRetr-Sel
FREQ-PwrRetr_RBV,FREQLvlRetr-Sts
FREQ-PwrShp,FREQLvlShp-Sel
FREQ-PwrShp_RBV,FREQLvlShp-Sts
FREQ-PDwellTime_RBV,FREQPDwellTime-RB
FREQ-PDwellTime,FREQPDwellTime-SP
FREQ-PExeSweep,FREQPExeSweep-Cmd
FREQ-PhsContState,FREQPhsCont-Sel
FREQ-PhsContState_RBV,FREQPhsCont-Sts
FREQ-PRunnMode-RBV,FREQPRunnMode-Mon
FREQ-PSpacMode_RBV,FREQPSpacMode-Mon
FREQ-PStepLog_RBV,FREQPStepLog-RB
FREQ-PStepLog,FREQPStepLog-SP
FREQ-PSweepMode,FREQPSweepMode-Sel
FREQ-PSweepMode_RBV,FREQPSweepMode-Sts
FREQ-PSweepPts_RBV,FREQPSweepPts-RB
FREQ-PSweepPts,FREQPSweepPts-SP
FREQ-Range,FREQRange-Sel
FREQ-Range_RBV,FREQRange-Sts
FREQ-Rst,FREQRst-Cmd
FREQ-StartFreq,FREQStartFreq-SP
FREQ-StepVar_RBV,FREQStepVar-RB
FREQ-StepVar,FREQStepVar-SP
FREQ-StopFreq_RBV,FREQStopFreq-RB
FREQ-StopFreq,FREQStopFreq-SP
FREQ-VarMode,FREQVarMode-Sel
FREQ-VarMode_RBV,FREQVarMode-Sts
GENERAL-AlcState,GENAlc-Sel
GENERAL-AlcState_RBV,GENAlc-Sts
GENERAL-AlcOffMode,GENAlcOffMode-Cmd
GENERAL-AttFixLow_RBV,GENAttFixLow-Mon
GENERAL-AttFixUpp_RBV,GENAttFixUpp-Mon
GENERAL-CalcFMode,GENCalcFMode
GENERAL-CalcLFMode,GENCalcLFMode
GENERAL-CalcPMode,GENCalcPMode
GENERAL-DspUpdt,GENDspUpdt-Sel
GENERAL-DspUpdt_RBV,GENDspUpdt-Sts
GENERAL-FMode_RBV,GENFMode-Sts
GENERAL-Freq_RBV,GENFreq-RB
GENERAL-Freq,GENFreq-SP
FREQ-FreqMode,GENFSweep-Sel
FREQ-FreqMode_RBV,GENFSweep-Sts
GENERAL-Idn,GENIdn
GENERAL-AlcOffMode,GENLFMode-Mon
GENERAL-Lvl_RBV,GENLvl-RB
GENERAL-Lvl,GENLvl-SP
GENERAL-LvlStart_RBV,GENLvlStart-RB
GENERAL-LvlStart,GENLvlStart-SP
GENERAL-LvlStop_RBV,GENLvlStop-RB
GENERAL-LvlStop,GENLvlStop-SP
GENERAL-PMode_RBV,GENPMode-Sts
GENERAL-PPwr_RBV,GENPPwr-RB
GENERAL-PPwr,GENPPwr-SP
GENERAL-PSweepState,GENPSweep-Sel
GENERAL-PSweepState_RBV,GENPSweep-Sts
GENERAL-Pwr_RBV,GENPwr-Sts
GENERAL-PwrAtt,GENPwrAtt-Sel
GENERAL-PwrAtt_RBV,GENPwrAtt-Sts
GENERAL-PwrLim_RBV,GENPwrLim-RB
GENERAL-PwrLim,GENPwrLim-SP
GENERAL-PwrMan_RBV,GENPwrMan-RB
GENERAL-PwrMan,GENPwrMan-SP
GENERAL-PwrStep_RBV,GENPwrStep-RB
GENERAL-PwrStep,GENPwrStep-SP
GENERAL-PwrStepMode,GENPwrStepMode-Sel
GENERAL-PwrStepMode_RBV,GENPwrStepMode-Sts
GENERAL-Reset,GENReset
GENERAL-RFState,GENRF-Sel
GENERAL-RFState_RBV,GENRF-Sts
GENERAL-RFLvl_RBV,GENRFLvl-RB
GENERAL-RFLvl,GENRFLvl-SP
GENERAL-SearchOnce,GENSearchOnce-Cmd
GENERAL-UsrCorrState,GENUsrCorrect-Sel
GENERAL-UsrCorrState_RBV,GENUsrCorrect-Sts
MOD-AllState,MODAll-Sel
MOD-AllState_RBV,MODAll-Sts
MOD-AMState,MODAM-Sel
MOD-AMState_RBV,MODAM-Sts
MOD-AMDepth_RBV,MODAMDepth-RB
MOD-AMDepth,MODAMDepth-SP
MOD-AMExtCoup,MODAMExtCoup-Sel
MOD-AMExtCoup_RBV,MODAMExtCoup-Sts
MOD-AMIntDepth_RBV,MODAMIntDepth-RB
MOD-AMIntDepth,MODAMIntDepth-SP
MOD-AMSrcInt,MODAMIntSrc-Sel
MOD-AMSrcInt_RBV,MODAMIntSrc-Sts
MOD-AMSens_RBV,MODAMSens-Mon
MOD-AMSrc,MODAMSrc-Sel
MOD-AMSrc_RBV,MODAMSrc-Sts
MOD-FMState,MODFM-Sel
MOD-FMState_RBV,MODFM-Sts
MOD-FMDev_RBV,MODFMDev-RB
MOD-FMDev,MODFMDev-SP
MOD-FMExtCoup,MODFMExtCoup-Sel
MOD-FMExtCoup_RBV,MODFMExtCoup-Sts
MOD-FMExtDev_RBV,MODFMExtDev-RB
MOD-FMExtDev,MODFMExtDev-SP
MOD-FMInpImpd,MODFMExtImpd-Sel
